tconst	directors	writers
tt9071872	nm0882296,nm11381607	
tt9172046	nm0721342	nm1628335
tt9247010	nm1212770,nm1540978	
tt9260354	nm1858034	nm5093519,nm4474133,nm5535759,nm3861850,nm4137981,nm2835498,nm7110538,nm1617379
tt9309456	nm0015846,nm0704479	nm1615030
tt9518430	nm2334213	
tt9534800	nm1153498	
tt9628876	nm5766923,nm16043394,nm3576068	nm3974240,nm1919448,nm9288411,nm3974348,nm3973234
tt9661800	nm1622900	
tt9688582	nm1819615	
tt9697798		
tt9726358	nm2521417	nm5054027,nm5203198
tt9747960	nm7465374	nm7465374
tt9884082	nm8853152	nm10566975,nm8853152
